Time (s),Temperature (C),Humidity (%)
0,27.299999237060547,42.5
15,27.299999237060547,42.900001525878906
30,27.299999237060547,42.900001525878906
45,27.299999237060547,42.70000076293945
60,27.200000762939453,41.5
75,27.299999237060547,42.5
90,27.299999237060547,43.70000076293945
105,27.200000762939453,41.29999923706055
120,27.200000762939453,41.29999923706055
135,27.200000762939453,41.70000076293945
150,27.200000762939453,42.0
165,27.100000381469727,41.79999923706055
180,27.100000381469727,41.70000076293945
195,26.5,42.0
210,27.0,41.900001525878906
225,27.0,41.79999923706055
240,27.0,42.79999923706055
255,26.899999618530273,42.099998474121094
270,26.899999618530273,41.900001525878906
285,27.0,42.599998474121094
300,26.899999618530273,42.900001525878906
